Chinese	English
突然感到寒冷和孤独。	And feeling suddenly chilly and alone.
第2条第3款的一览表载于公约草案订正本的附录。	The list from paragraph 3 of article 2 is contained in an attachment to the revised version of the draft Convention.
如果这次谈话有什么要带走的，	If there's one thing to take away from this talk,
准备金和基金结余，年末	Reserves and fund balances, end of year
这也在与之同步变化。	That is also changing in sync with that.
她的头朝天上的星星，随着她的成长，全身仍然在颤抖，	Her head went up and up towards the stars and as she grew still trembling through all her body,
他们只有一双18号的鞋。	They onIy have one pair of size 18 shoes.
远离家乡的一个好处便是能收到你妙趣横生的来信。	One advantage to moving far from home is receiving your interesting letters.
关于意识的激情。这是我实践的地方，辨识如何放弃那种激情。	passion pertaining to consciousness. This is where my practice at, discerning how to abandon that passion.
塔赫马斯比尔的作品中的每一幅画都是宝贵的，需要单独检查。	Each of the paintings in Tahmasbi paintings are valuable and needs to be examined separately.
我唯一能做的工作就是酒吧工作	The only jobs really available to me was um bar work
土地纠纷产生的冲突通常以传统方法解决，而且经常有利于土地使用者，而不是土地所有者。	Conflicts that arise from land disputes are usually settled by traditional means and will probably favour access to land rather than ownership of it.
关于别人，我们和另一个人分享这种情感。	Of someone else and we share that emotion with that other person.
现在让我们深入探讨卫星技术，它在连接我们的设备和构建全球网络方面发挥着重要作用。	Now let's dive into satellite technology, which plays a significant role in connecting our devices and creating a global network.
作为一名学校顾问和有执照的治疗师，我也担心这个，	As a school counselor and licensed therapist myself i too worry about this,
尤其是阿里，他一直是我非常亲密的导师，	And ali in particular who's continued to be a very close mentor to me,
早在汽车、火车和飞机出现之前，人们就已经通过船只和船舶长途跋涉。他们勇敢地穿越险恶的海域，面对变幻莫测的天气，探索着未被发现的领域。今天，我们将了解古代航海者们如何踏上那个位于迷人岛屿之国斐济的非凡旅程！	Long before cars, trains, and airplanes, people traveled across great distances using boats and ships. They braved treacherous waters and uncertain weather conditions to explore uncharted territories. Today, we'll learn about one such incredible journey taken by ancient voyagers who settled on the beautiful island nation of Fiji!
但它会继续前进，	But it is going to go forward,
只是，那真的很酷。	It's just that's really cool.
当我要穿着他的衣服随身携带那件财产时，它会在我的遗体上被发现，	As i shall con tinue to carry that property about with me in his clothes which i am wearing it will be found upon my remains,
政府会记录本网站被浏览的次数，但不会收集任何可识别浏览人士身份的个人资料。收集这些统计数字是为了编制统计报告作参考用途。	The Government will record visits to this website without collecting any personal identifiable information of visitors. Such general statistics are collected for the compilation of statistical reports for reference purpose.
的黎波里的雅利特包括拉塔基亚，哈马和霍姆斯成立。	The aalad of tripoli which included laticia hama and homs was established.
伍尔福克表示，两项提议的债券发行，包括一个民权博物馆，均以失败告终，主要是因为反对总体支出，但也因为反对博物馆而采取的立场。	Two proposed bond issues for widespread public works, including a civil rights museum, were defeated, mostly as a vote against overall spending, Woolfolk said, but also as a stand against the museum.
他尾巴的叉子比马丁的长，	And that the fork of his tail is longer than that of the martin,
烤肉还会产生潜在的致癌物质。	The grilling of meat can also form potentially carcinogenic compounds.
麦当劳是推动全球肉类消费的公司之一。	Mcdonald's one of the companies driving meat consumption across the planet.
生石灰是一种粗制品，在经过淬火后，用于与消石灰或测试混合使用。淬火后的消石灰与一定量的水混合，混合物变为液体，因为钙和镁的氧化物转移至水合物中。石灰膏是由熟石灰与少量水制得，之后它会变成一种粘土状的物质。	Lump lime is a crude product which, after quenching, is used in a mixture of hydrated lime or test. Hydrated lime mixture is obtained after quenching quicklime with certain amount of waters, whereupon the mixture becomes a liquid, as the oxides of calcium and magnesium transferred into hydrates. Lime paste is obtained from slaked lime and a small amount of water, after which it turns in doughy mass.
这咖喱太辣了。	This curry is too hot.
